"Total DMA List","107 DMA used in this study","Population"
"Columbus-Tupelo-West Point MS","FALSE","493210.5"
"Wilmington NC","FALSE","489382.5"
"Columbia-Jefferson City MO","FALSE","475913.5"
"Rockford IL","FALSE","474988.5"
"Monroe LA-El Dorado AR","FALSE","474566"
"Topeka KS","FALSE","466880.5"
"Beaumont-Port Arthur TX","FALSE","464115.5"
"Lubbock TX","FALSE","459953.5"
"Anchorage AK","FALSE","453036"
"Odessa-Midland TX","FALSE","450841.5"
"Wausau-Rhinelander WI","FALSE","447578"
"Medford-Klamath Falls OR","FALSE","436873"
"Wichita Falls TX & Lawton OK","FALSE","425875.5"
"Salisbury MD","FALSE","425518.5"
"Duluth MN-Superior WI","FALSE","421986.5"
"Albany GA","FALSE","415129.5"
"Sioux City IA","FALSE","409406.5"
"Erie PA","FALSE","404203.5"
"Joplin MO-Pittsburg KS","FALSE","400839.5"
"Minot-Bismarck-Dickinson(Williston) ND","FALSE","399694"
"Terre Haute IN","FALSE","391975"
"Yuma AZ-El Centro CA","FALSE","384324"
"Panama City FL","FALSE","383674.5"
"Idaho Falls-Pocatello ID","FALSE","383489.5"
"Biloxi-Gulfport MS","FALSE","381904"
"Rochester MN-Mason City IA-Austin MN","FALSE","371158.5"
"Utica NY","FALSE","356019.5"
"Bangor ME","FALSE","346651.5"
"Sherman TX-Ada OK","FALSE","340876.5"
"Binghamton NY","FALSE","340565"
"Bluefield-Beckley-Oak Hill WV","FALSE","338615"
"Wheeling WV-Steubenville OH","FALSE","333441"
"Gainesville FL","FALSE","332644.5"
"Abilene-Sweetwater TX","FALSE","312570"
"Missoula MT","FALSE","300361.5"
"Hattiesburg-Laurel MS","FALSE","298141"
"Billings, MT","FALSE","283431.5"
"Laredo TX","FALSE","280766"
"Quincy IL-Hannibal MO-Keokuk IA","FALSE","274046.5"
"Clarksburg-Weston WV","FALSE","271092.5"
"Dothan AL","FALSE","267597"
"Lake Charles LA","FALSE","267333"
"Rapid City SD","FALSE","266294.5"
"Watertown NY","FALSE","253195.5"
"Alexandria LA","FALSE","246317.5"
"Bowling Green KY","FALSE","245614.5"
"Elmira NY","FALSE","244297.5"
"Jonesboro AR","FALSE","228051"
"Grand Junction-Montrose CO","FALSE","221120.5"
"Marquette MI","FALSE","215920.5"
"Jackson TN","FALSE","208915.5"
"Greenwood-Greenville MS","FALSE","196001"
"Lafayette IN","FALSE","193587.5"
"Twin Falls ID","FALSE","191300"
"Meridian MS","FALSE","181866"
"Butte-Bozeman MT","FALSE","180366"
"Bend OR","FALSE","174696"
"Great Falls MT","FALSE","168856.5"
"Charlottesville VA","FALSE","163245"
"Eureka CA","FALSE","163188.5"
"Harrisonburg VA","FALSE","160470.5"
"St. Joseph MO","FALSE","156360.5"
"Parkersburg WV","FALSE","154268"
"San Angelo TX","FALSE","151103"
"Lima OH","FALSE","150166.5"
